,year,month,total_sales,shopping_mall
0,2021,1,2204791.9300000025,Mall of Istanbul
1,2022,10,2158894.570000001,Kanyon
2,2022,10,2129682.689999998,Mall of Istanbul
3,2022,7,2104292.249999999,Mall of Istanbul
4,2021,1,2090260.1099999987,Kanyon
5,2022,5,2062187.2800000007,Mall of Istanbul
6,2022,7,2057417.810000002,Kanyon
7,2021,3,2056647.0299999984,Kanyon
8,2022,12,2049860.3300000005,Mall of Istanbul
9,2021,5,2035876.1899999995,Mall of Istanbul
10,2022,1,2031042.6299999983,Mall of Istanbul
11,2021,8,2022025.04,Mall of Istanbul
12,2021,8,2006239.9300000009,Kanyon
13,2021,2,2001026.6399999983,Mall of Istanbul
14,2022,8,1999991.1099999994,Mall of Istanbul
15,2021,10,1999620.0100000019,Kanyon
16,2022,12,1995492.3600000008,Kanyon
17,2022,3,1992811.1699999983,Kanyon
18,2021,4,1989379.0899999987,Mall of Istanbul
19,2023,1,1986396.3000000005,Kanyon
20,2021,7,1985569.3200000012,Kanyon
21,2021,12,1969986.6000000013,Kanyon
22,2022,8,1969021.6499999994,Kanyon
23,2021,7,1965354.3899999997,Mall of Istanbul
24,2023,2,1957544.7099999983,Kanyon
25,2021,5,1956077.8200000008,Kanyon
26,2022,6,1954074.5099999995,Kanyon
27,2022,5,1934308.4999999998,Kanyon
28,2022,6,1929335.720000002,Mall of Istanbul
29,2022,3,1920871.3600000003,Mall of Istanbul
30,2021,6,1914740.9599999983,Mall of Istanbul
31,2021,9,1898129.050000002,Kanyon
32,2022,4,1894035.3099999998,Kanyon
33,2023,2,1889269.0099999986,Mall of Istanbul
34,2022,2,1879111.3699999999,Mall of Istanbul
35,2021,10,1870115.3099999991,Mall of Istanbul
36,2021,4,1852061.6500000008,Kanyon
37,2021,11,1847909.2000000004,Mall of Istanbul
38,2023,1,1843872.4299999995,Mall of Istanbul
39,2021,2,1836484.5899999999,Kanyon
40,2021,9,1835131.6499999985,Mall of Istanbul
41,2021,6,1823885.300000001,Kanyon
42,2022,9,1800353.2499999986,Mall of Istanbul
43,2021,3,1797853.3700000006,Mall of Istanbul
44,2022,11,1785193.1,Mall of Istanbul
45,2021,12,1784952.660000001,Mall of Istanbul
46,2022,1,1781995.069999999,Kanyon
47,2022,9,1773366.2400000002,Kanyon
48,2022,11,1733162.05,Kanyon
49,2022,4,1718441.210000001,Mall of Istanbul
50,2021,11,1693254.6399999997,Kanyon
51,2022,2,1677621.0899999996,Kanyon
52,2021,10,1618309.8700000006,Metrocity
53,2022,9,1574005.0000000002,Metrocity
54,2022,10,1566642.9500000002,Metrocity
55,2023,1,1565052.3399999992,Metrocity
56,2022,6,1556609.1799999988,Metrocity
57,2022,4,1529715.540000001,Metrocity
58,2021,8,1529314.379999999,Metrocity
59,2021,7,1516534.5099999998,Metrocity
60,2022,1,1488103.0799999998,Metrocity
61,2023,2,1483591.4,Metrocity
62,2022,12,1467981.8499999992,Metrocity
63,2021,3,1444521.2199999995,Metrocity
64,2022,7,1439462.1499999992,Metrocity
65,2022,5,1429673.6199999999,Metrocity
66,2021,6,1411764.74,Metrocity
67,2021,11,1393476.949999999,Metrocity
68,2021,12,1389237.2899999984,Metrocity
69,2022,8,1387443.849999999,Metrocity
70,2022,3,1377181.9699999993,Metrocity
71,2022,11,1344013.810000001,Metrocity
72,2021,2,1309870.5799999994,Metrocity
73,2021,9,1309523.6699999995,Metrocity
74,2021,5,1290621.3199999998,Metrocity
75,2021,4,1240777.4299999971,Metrocity
76,2021,7,1234963.8199999991,Istinye Park
77,2021,1,1211741.6000000006,Metrocity
78,2022,3,1158727.3399999996,Metropol AVM
79,2023,1,1096445.8899999997,Metropol AVM
80,2022,2,1083785.8599999994,Metrocity
81,2022,10,1076817.7600000002,Istinye Park
82,2021,8,1069574.74,Metropol AVM
83,2021,5,1064914.3999999992,Metropol AVM
84,2022,12,1062214.8799999992,Istinye Park
85,2022,5,1056603.519999999,Istinye Park
86,2021,12,1053440.2299999995,Metropol AVM
87,2021,6,1049099.5900000005,Metropol AVM
88,2022,3,1034403.2699999998,Istinye Park
89,2022,11,1032015.6900000005,Metropol AVM
90,2021,11,1024229.8399999993,Istinye Park
91,2021,3,1016870.6799999994,Metropol AVM
92,2021,10,1012629.4699999985,Metropol AVM
93,2022,1,1011194.36,Istinye Park
94,2022,9,1007698.6899999995,Metropol AVM
95,2022,1,999893.2099999996,Metropol AVM
96,2021,9,993546.0499999989,Metropol AVM
97,2021,11,989331.9999999987,Metropol AVM
98,2021,12,984075.4399999997,Istinye Park
99,2021,1,971940.0800000001,Istinye Park
100,2021,2,969275.2500000001,Metropol AVM
101,2022,12,968527.8899999995,Metropol AVM
102,2022,5,955485.8699999992,Metropol AVM
103,2022,8,953790.0499999993,Istinye Park
104,2022,8,946082.0600000002,Metropol AVM
105,2022,9,932661.4299999997,Istinye Park
106,2022,6,927911.0799999991,Metropol AVM
107,2021,10,921458.5499999992,Istinye Park
108,2022,4,918599.0199999996,Metropol AVM
109,2022,2,912560.9299999988,Istinye Park
110,2022,7,888568.1199999993,Metropol AVM
111,2021,5,886446.7699999996,Istinye Park
112,2021,9,877893.4299999987,Istinye Park
113,2022,6,874321.4799999996,Istinye Park
114,2021,4,873016.5799999988,Istinye Park
115,2021,4,868012.8099999995,Metropol AVM
116,2021,8,867807.3700000002,Istinye Park
117,2022,10,867800.3199999998,Metropol AVM
118,2023,2,860913.7599999993,Istinye Park
119,2023,1,858860.7299999999,Istinye Park
120,2022,7,858130.4199999997,Istinye Park
121,2021,6,857702.3799999997,Istinye Park
122,2021,1,856880.5499999998,Metropol AVM
123,2022,4,854502.2999999993,Istinye Park
124,2021,7,851909.5599999994,Metropol AVM
125,2022,11,842326.3400000002,Istinye Park
126,2021,3,839642.96,Istinye Park
127,2023,2,827478.0499999997,Metropol AVM
128,2021,2,814392.8799999993,Istinye Park
129,2022,2,704531.7099999994,Metropol AVM
130,2023,2,695376.7899999999,Zorlu Center
131,2022,7,681630.0600000002,Viaport Outlet
132,2021,10,650368.6999999995,Emaar Square Mall
133,2021,7,649294.42,Emaar Square Mall
134,2021,4,626569.3199999997,Forum Istanbul
